Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cabo Verde,CPV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,76969365.05,65100093.73,75755926.17,57690218.29,42078709.19,36891764.17,27566288.81,19323245.85,8316973.767,43483582.82,28196818.87,45479478.07,77123428.27,92617800.66,139362725.7,174391987.4,254525770.7,364462266.1,361467111.5,397876708.9,382190200.5,338617823.4,375841714.7,475334069.5,510930777.5,494495560.7,572736752.5,617362329.8,606430600.3,737990665.4,382190200.5
Costa Rica,CRI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,524889929.3,930999963.3,1031845246,1037650453,906223458.3,1059760042,1000948787,1262391835,1063939794,1460959448,1318296304,1330363591,1502388943,1840008318,1922625761,2313689169,3117011524,4115350419,3800532462,4066199745,4627252202,4755830028,6856696346,7330880579,7211431940,7833931555,7573806768,7149834514,7500924411,8937069411,4627252202
Cyprus,CYP,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1683639390,1552478636,1180838132,1276350834,1640273757,1294935136,1704484026,1525648593,1512684036,1967461147,1868515473,2396061101,3181358209,3450932655,4113824037,4429824567,5942554137,6506542488,1004746547,1281245251,1141718898,1187122353,1191085646,916261841.4,893890213.6,807868870.8,812488586,887692448.7,924201541.5,1033463564,1141718898
Czech Republic,CZE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,4551181360,6948563350,14612514154,13084766355,10035803026,12624991439,12935556426,13141569748,14463996053,23707071208,26955067824,28451131102,29553532656,31456871275,34907225299,37021634957,41608025692,42482660898,40283016691,44884691027,56217652211,54495067818,64490290734,85725304288,1.48E+11,1.43E+11,1.50E+11,42482660898
Germany,DEU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1.05E+11,96657198482,1.23E+11,1.15E+11,1.14E+11,1.22E+11,1.18E+11,1.05E+11,1.08E+11,93407192492,87496869035,82131887554,89142540697,96835206408,97169968441,1.02E+11,1.12E+11,1.36E+11,1.39E+11,1.79E+11,2.16E+11,2.34E+11,2.49E+11,1.99E+11,1.93E+11,1.74E+11,1.84E+11,2.00E+11,1.98E+11,2.24E+11,2.16E+11
Djibouti,DJI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,93639294.28,99996799.51,83401905.68,75101449.73,73758752.59,72155533.83,76970779.66,66567644.21,66454891.9,70605911.84,67804571.83,70308696.57,73707750.59,100129582.5,93939056.7,89264770.32,120326699.2,132137437.9,175495410.9,241831914.4,248997896.3,244112095.2,248630000.3,424961509.9,393148391.7,364857284.1,407414266.7,556097628.9,454193909.7,501857934.4,248997896.3
Dominica,DMA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,14462984.59,17768608.62,20410000.41,19915109.14,15414832.05,22123442.28,22894379.55,23892440.09,27665292.71,31574051.17,29372786.74,31224517.74,45497423.66,47735245.63,42321834.56,49172196.73,63047100.26,60522068.62,55150083.36,75464032.69,76099741.29,81120934.27,94562315.38,87050886.03,101447737.7,126225919.3,221907763.5,212292574.6,191323608.3,166809123.8,76099741.29
Denmark,DNK,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,11225840672,7990191790,11596802127,10941474547,9680246577,11652290058,14754070655,19613799547,15880864795,22908487684,15695951233,17702199723,27719142484,37997724766,40020822397,34028012497,31083835098,34318338718,42326707927,76617709422,76510022326,84955222078,89697829678,88676584007,75391887669,65185093406,64215805620,75244445866,70942078374,66835547934,76510022326
Dominican Republic,DOM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,68530000,448222017.2,505794750.4,658256133.8,259100074.7,372632170.3,357007063.8,396257894.6,507121243.4,699283161.3,632133042.1,1104534583,474683747.7,279543949.8,826423251,1929853895,2275420935,3044764601,2694510025,3580178696,3874458747,4114429337,3558641726,4700626508,4861785572,5266043354,6134227407,6872905749,7717561574,8870942286,3874458747
Algeria,DZA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2703474408,3459969141,3317517177,3655668338,4813488033,4164319964,6296459575,9666874795,8452272525,6146079211,13556106802,19625060613,25151012703,35454600266,45691652467,59167068864,81462730475,1.15E+11,1.48E+11,1.55E+11,1.70E+11,1.91E+11,2.01E+11,2.01E+11,1.86E+11,1.51E+11,1.21E+11,1.05E+11,87382910154,71795950715,1.70E+11
